accord_id_primary,accord_id_secondary,note_id,blended_pct
ACC-0007,ACC-0183,NOTE-0193,5.36185
ACC-0007,ACC-0183,NOTE-0205,2.566174
ACC-0007,ACC-0183,NOTE-0455,4.078509
ACC-0007,ACC-0183,NOTE-0475,5.32805
ACC-0007,ACC-0183,NOTE-0476,2.358276
ACC-0007,ACC-0183,NOTE-0485,5.229998
ACC-0007,ACC-0183,NOTE-0497,17.60785
ACC-0007,ACC-0183,NOTE-0556,8.737663
ACC-0007,ACC-0183,NOTE-0571,12.02938
ACC-0007,ACC-0183,NOTE-0639,14.39295
ACC-0007,ACC-0183,NOTE-0640,8.13735
ACC-0007,ACC-0183,NOTE-0641,14.17195
ACC-0161,ACC-0116,NOTE-0021,2.769678
ACC-0161,ACC-0116,NOTE-0455,5.537221
ACC-0161,ACC-0116,NOTE-0456,13.422138
ACC-0161,ACC-0116,NOTE-0457,4.123641
ACC-0161,ACC-0116,NOTE-0458,1.50366
ACC-0161,ACC-0116,NOTE-0476,2.544775
ACC-0161,ACC-0116,NOTE-0512,13.297032
ACC-0161,ACC-0116,NOTE-0513,6.635565
ACC-0161,ACC-0116,NOTE-0514,4.567683
ACC-0161,ACC-0116,NOTE-0555,39.00039
ACC-0161,ACC-0116,NOTE-0556,6.598216
ACC-0105,ACC-0153,NOTE-0021,9.142
ACC-0105,ACC-0153,NOTE-0087,3.33255
ACC-0105,ACC-0153,NOTE-0205,9.94875
ACC-0105,ACC-0153,NOTE-0319,3.21545
ACC-0105,ACC-0153,NOTE-0465,3.64975
ACC-0105,ACC-0153,NOTE-0481,19.0177
ACC-0105,ACC-0153,NOTE-0482,18.80125
ACC-0105,ACC-0153,NOTE-0483,12.6321
ACC-0105,ACC-0153,NOTE-0484,7.56665
ACC-0105,ACC-0153,NOTE-0490,4.928
ACC-0105,ACC-0153,NOTE-0549,5.7561
ACC-0105,ACC-0153,NOTE-0550,2.0097
ACC-0161,ACC-0075,NOTE-0021,2.769678
ACC-0161,ACC-0075,NOTE-0046,9.99995
ACC-0161,ACC-0075,NOTE-0075,7.555526
ACC-0161,ACC-0075,NOTE-0453,6.04456
ACC-0161,ACC-0075,NOTE-0456,9.9633
ACC-0161,ACC-0075,NOTE-0457,4.123641
ACC-0161,ACC-0075,NOTE-0476,2.544775
ACC-0161,ACC-0075,NOTE-0555,39.00039
ACC-0161,ACC-0075,NOTE-0556,6.598216
ACC-0161,ACC-0075,NOTE-0572,5.00015
ACC-0161,ACC-0075,NOTE-0604,3.081431
ACC-0161,ACC-0075,NOTE-0606,3.318383
ACC-0135,ACC-0125,NOTE-0205,6.586693
ACC-0135,ACC-0125,NOTE-0456,9.120241
ACC-0135,ACC-0125,NOTE-0465,6.611988
ACC-0135,ACC-0125,NOTE-0484,29.250293
ACC-0135,ACC-0125,NOTE-0493,9.825102
ACC-0135,ACC-0125,NOTE-0494,4.511105
ACC-0135,ACC-0125,NOTE-0496,4.758048
ACC-0135,ACC-0125,NOTE-0520,6.663933
ACC-0135,ACC-0125,NOTE-0524,6.422436
ACC-0135,ACC-0125,NOTE-0536,16.250163
ACC-0194,ACC-0102,NOTE-0021,3.85455
ACC-0194,ACC-0102,NOTE-0205,5.797752
ACC-0194,ACC-0102,NOTE-0395,16.399014
ACC-0194,ACC-0102,NOTE-0455,7.653827
ACC-0194,ACC-0102,NOTE-0465,4.375844
ACC-0194,ACC-0102,NOTE-0471,9.588246
ACC-0194,ACC-0102,NOTE-0473,4.4702
ACC-0194,ACC-0102,NOTE-0474,8.75
ACC-0194,ACC-0102,NOTE-0475,15.75
ACC-0194,ACC-0102,NOTE-0476,1.53335
ACC-0194,ACC-0102,NOTE-0573,21.827218
ACC-0149,ACC-0295,NOTE-0205,4.2588
ACC-0149,ACC-0295,NOTE-0456,12.577688
ACC-0149,ACC-0295,NOTE-0465,3.87205
ACC-0149,ACC-0295,NOTE-0484,2.818172
ACC-0149,ACC-0295,NOTE-0506,4.183158
ACC-0149,ACC-0295,NOTE-0509,10.57355
ACC-0149,ACC-0295,NOTE-0511,18.67645
ACC-0149,ACC-0295,NOTE-0524,21.924481
ACC-0149,ACC-0295,NOTE-0527,1.871431
ACC-0149,ACC-0295,NOTE-0551,16.25
ACC-0149,ACC-0295,NOTE-0608,2.99422
ACC-0182,ACC-0160,NOTE-0205,1.7745
