note_id,note_name,normalized_note_name,chemical_family,odor_family
NOTE-0430,White Amber,white_amber,,
NOTE-0431,White Florals,white_florals,,
NOTE-0432,White Flowers,white_flowers,,
NOTE-0433,White Honey,white_honey,,
NOTE-0435,White Musks,white_musks,,
NOTE-0436,White Pepper,white_pepper,,
NOTE-0437,White Woods,white_woods,,
NOTE-0438,Wild Herbs,wild_herbs,,
NOTE-0439,Wildflowers,wildflowers,,
NOTE-0440,Wood,wood,,
NOTE-0441,Woods,woods,,
NOTE-0442,Woodsy Notes,woodsy_notes,,
NOTE-0443,Woody Notes,woody_notes,,
NOTE-0444,Wormwood,wormwood,,
NOTE-0445,Ylang-Ylang,ylang_ylang,Aromatic Ester,Floral / Exotic
NOTE-0446,Yuzu,yuzu,,
